Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE
MLR,train,2871,343.00718032906127,55.632260728028825,-0.008600119426366293,6.206465123778023,0.05398287383208396,160.7283526657605,-51.37409023240601,1.6863815771933222,1.1856093976491004
MLR,val,396,17.49421930929289,8.654372428626365,-23.38083067769875,15.192348347543826,0.6728545888189573,168.1637497402446,7.7161048503302085,3.835624385736719,0.18443804274459596
MLR,test,1056,4083.392295523495,1267.4470292518681,-0.09330225391536806,3.1716928033864327,0.13808306152859143,155.45493117738562,-1265.132896379002,156.88068207491398,27.011253708522318
NaiveLast,test,1056,4070.1671712699103,1381.7642045454538,-0.08623183676883772,3.1614204542259148,0.13763584374644666,151.4914677625137,-443.4782196969697,266.5000000000001,29.44752927178536
SeasonalNaive12,test,1056,3407.192684401096,1016.4204545454543,0.23881289480180745,2.646468361296755,0.11521684987153742,165.03408530555566,-989.3295454545453,152.99999999999994,21.661489702228025
