horizon,n_train,n_val,n_test,n_features,adj_R2_train_log,AIC_train_log,BIC_train_log,condition_number,durbin_watson_train,jarque_bera_stat,jarque_bera_pvalue,breusch_pagan_stat,breusch_pagan_pvalue,max_vif_train,dropped_constant_cols
1,506,66,176,10,0.23010770321952578,1906.2767702249394,1952.7686735871014,7025057.862797485,0.34427075267194956,146.96539987810678,1.2214308956416773e-32,140.34735602149212,3.5772486465509805e-25,792.2035421505611,denv4
2,495,66,176,10,0.23597420460695862,1869.3001342414973,1915.5502696297528,7165935.34357188,0.36407177044475186,132.8823303192358,1.3962674054931267e-29,140.82870314949508,2.8502747344248645e-25,800.5078912086051,denv4
3,484,66,176,10,0.23092040484639165,1838.7412207422703,1884.7441547161534,7147283.935756877,0.3816964690209332,128.32080214444383,1.3661294625866567e-28,140.1434246110625,3.9386126121957754e-25,794.5850538668666,denv4
4,473,66,176,10,0.22136571799824423,1810.6448290679946,1856.3948783414057,7183739.039468502,0.3678997142715966,120.58374456468137,6.53992193267852e-27,144.93229032525736,4.101873012005833e-26,782.2706341997284,denv4
5,462,66,176,10,0.2225050052236881,1776.2040323848032,1821.6952461867024,7251530.015722026,0.345139731246351,105.60840304222529,1.1679564733572731e-23,152.15320127077393,1.3436222940257038e-27,778.9752726070608,denv4
6,451,66,176,10,0.2270079091037367,1739.877465653103,1785.1036063876325,7413687.520754737,0.36470689540749174,105.37389969423266,1.3132530347860802e-23,133.08292111375985,1.096639018462959e-23,774.3184379794787,denv4
