Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE
CatBoost,train,2871,162.61223992577408,21.41423251651195,0.7733169451940849,2.9423500546855244,0.02559210574846934,128.1260496071716,-11.701078169160537,0.47633820018258555,0.45637036824980204
CatBoost,val,396,2.5777751512959197,0.8673107429864041,0.47064206059505864,2.23859421033593,0.09914519812676614,155.45133187246742,-0.4187272258639955,0.28799683210706334,0.018483731455634107
CatBoost,test,1056,4110.570417302198,1286.4441934098634,-0.10790422408869871,3.192802862625554,0.1390021106892401,191.8439803422122,-1286.3708066891475,174.0611207546535,27.416112616998316
NaiveLast,test,1056,4070.1671712699103,1381.7642045454538,-0.08623183676883772,3.1614204542259148,0.13763584374644666,151.4914677625137,-443.4782196969697,266.5000000000001,29.44752927178536
SeasonalNaive12,test,1056,3407.192684401096,1016.4204545454543,0.23881289480180745,2.646468361296755,0.11521684987153742,165.03408530555566,-989.3295454545453,152.99999999999994,21.661489702228025
