horizon,OutbreakThreshold,BestIteration,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,80.00000000000001,1799,176,4110.87015646159,1286.6822270900855,-0.10806580477199823,3.193035678986544,0.13901224660021647,193.9792865352601,-1286.6265387273254,174.4753673856748,27.421185482356208,-94.46527517021566,-20.65270553327054,-80.76284101586499,-26.589564518897134,0.0,0.0,0.0,1.0,0.5890131578947368,0.6469088689504335
2,84.60000000000001,1199,176,4110.643092813885,1286.4136551539484,-0.10794340026620852,3.192859311866949,0.13900456826774976,191.7488751814416,-1286.3399527018717,174.4717203162677,27.4154617995998,-14.02474282839432,-20.646041288869444,-4.890760014776374,-26.563141208058006,0.0,0.0,0.0,1.0,0.570510297783025,0.6142515541459757
3,85.69999999999997,1866,176,4111.058249757071,1286.717491260821,-0.10816720642616406,3.193181776669173,0.1390186071201502,190.90176802282653,-1286.6357972592536,174.4202014516125,27.42193701629851,8.626426329031744,-20.65822601047578,17.899367933038,-26.59303396607107,0.0,0.0,0.0,1.0,0.5401416765053129,0.6043116479573191
4,86.0,1830,176,4110.837490726417,1286.543030729684,-0.10804819504999452,3.193010306534017,0.1390111419831742,190.25708029833908,-1286.4320479274165,174.32760626934598,27.418218992933507,13.128397579657547,-20.65174680453992,22.6110436795558,-26.575869757071068,0.0,0.0,0.0,1.0,0.4900957628230356,0.5971513827050661
5,86.90000000000006,691,176,4110.730731888321,1286.544718586918,-0.10799064356464783,3.192927383754627,0.13900753185068077,190.93020160996653,-1286.4597954378637,174.23041510975742,27.418254963777983,9.805089108615295,-20.64861346727418,20.557468276123014,-26.576035816030853,0.0,0.0,0.0,1.0,0.6468581923127377,0.7141994901691253
6,94.0,132,176,4109.282528090042,1285.764037637723,-0.10721009445317842,3.191802520593702,0.138958559721698,193.31613589635177,-1285.7307080811552,174.0117111514367,27.40161744702388,4.52687353693414,-20.6061091555894,14.464807768191601,-26.499228925171494,0.0,0.0,0.0,1.0,0.8492757405715777,0.8723298133874484
