Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Coverage,MeanIntervalWidth
Prophet,train,2145,445.88743501327133,108.12551697503227,-0.28459118633262825,6.03950788764645,0.0701742894260736,167.89910991441354,-35.7562012610845,9.596506640989517,2.3043217617557317,0.4540792540792541,577.1137990516577
Prophet,val,396,16.5160581866927,8.066135591909202,-20.730622814232078,14.34289263581208,0.6352330071804885,173.05071395331652,7.805307178597003,4.57851735431669,0.1719018072487073,1.0,283.78332516591007
Prophet,test,1056,3974.868964147931,1241.1056532295652,-0.0359616194494492,3.0873994893443952,0.13441326133328627,169.47161340123643,-1240.2163232905136,161.97181370125668,26.449878302411665,0.5179924242424242,2312.813520246301
NaiveLast,test,1056,4070.1671712699103,1381.764204545454,-0.08623183676883772,3.1614204542259148,0.13763584374644666,151.4914677625137,-443.4782196969697,266.5000000000001,29.447529271785363,,
SeasonalNaive12,test,1056,3407.192684401096,1016.4204545454543,0.23881289480180756,2.646468361296755,0.11521684987153742,165.03408530555566,-989.3295454545454,152.99999999999994,21.661489702228025,,
