Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE
StackedLSTM,train,2541,362.5576031818944,61.261817932128906,-0.0006573200225830078,5.813605914253623,0.057059742395639663,163.01480102539062,-59.63266372680664,0.853973388671875,1.305583956267415
StackedLSTM,val,396,4.4821705999150865,1.9668980836868286,-0.6004282236099243,3.8924113959283955,0.172391176919811,163.79029846191406,0.5071123242378235,0.7362679839134216,0.04191763594935499
StackedLSTM,test,1056,4106.229657483857,1283.028564453125,-0.10556554794311523,3.1894312922689645,0.1388553245463228,187.4578094482422,-1282.8956298828125,173.6456298828125,27.343320288644293
NaiveLast,test,1056,4070.1670727379237,1381.76416015625,-0.08623182773590088,3.1614204049433727,0.13763584041451116,151.49147033691406,-443.47821044921875,266.5,29.44752832578287
SeasonalNaive12,test,1056,3407.1926860686935,1016.4204711914062,0.23881292343139648,2.6464683854035402,0.11521684992792823,165.03407287597656,-989.3295288085938,153.0,21.66149005697897
