horizon,OutbreakThreshold,BestEpoch,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,94.0,1,176,4110.449123879287,1285.7501220703125,-0.10783886909484863,3.192708677919748,0.1389980090585448,186.83033752441406,-1285.5531005859375,172.51968383789062,27.401320884790394,-94.44535989691845,-20.64034830451662,-80.63189045194822,-26.497857777619238,0.0,0.0,0.0,1.0,0.7624951063552134,0.7864847377699357
2,97.0,7,176,4082.5285057179944,1267.427734375,-0.09283983707427979,3.1710218993683297,0.13805385180975227,182.2246551513672,-1267.3302001953125,155.13189697265625,27.010842504896186,-13.244875827610914,-19.820887219282014,-3.342703028955407,-24.695219183196237,1.0,0.07368421052631578,0.13725490196078433,1.0,0.8320987654320987,0.8590380653983525
3,107.19999694824219,1,176,4109.9447684853385,1285.083251953125,-0.10756707191467285,3.1923169300122844,0.13898095389169954,187.07899475097656,-1284.965576171875,172.673828125,27.3871088526421,8.651174540759998,-20.62554563732344,18.00363972983593,-26.43224810759697,0.0,0.0,0.0,1.0,0.9060716139076284,0.9072378093119073
4,112.0,1,176,4111.338954647257,1286.346435546875,-0.10831856727600098,3.1933998360703924,0.1390280993726247,186.8124542236328,-1286.2244873046875,173.44479370117188,27.414029245955394,13.11780015553018,-20.666464548884257,22.62286939828565,-26.556525769209728,0.0,0.0,0.0,1.0,0.7999482401656315,0.8249939584379853
5,112.0,1,176,4111.679462214923,1286.8563232421875,-0.10850226879119873,3.193664318474485,0.13903961389878677,189.64785766601562,-1286.71923828125,174.09962463378906,27.424895740241208,9.784269912294219,-20.676458335530313,20.53822871083275,-26.606690805212473,0.0,0.0,0.0,1.0,0.5077639751552795,0.5270138421121493
6,116.0,2,176,4111.355007780282,1286.70703125,-0.10832726955413818,3.193412305018571,0.13902864222170574,192.1525421142578,-1286.580810546875,174.23171997070312,27.4217140973129,4.478721425522647,-20.666935703130697,14.402074677171605,-26.592002790122372,0.0,0.0,0.0,1.0,0.6960403726708074,0.7329454620322347
