Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE
StackedLSTM,train,2541,252.70669139340177,32.3162956237793,0.5138561725616455,4.052148135255303,0.039771276580642397,138.68655395507812,-19.147672653198242,0.47968101501464844,0.6887101708138116
StackedLSTM,val,396,2.6103831644995967,0.9658584594726562,0.45716482400894165,2.2669117452669805,0.10039935248075373,168.94981384277344,-0.5043731331825256,0.29747623205184937,0.02058393549649009
StackedLSTM,test,1056,4103.428079057801,1276.2373046875,-0.10405755043029785,3.1872552225784823,0.13876058700993513,180.1877899169922,-1273.2301025390625,155.58920288085938,27.19858805424231
NaiveLast,test,1056,4070.1670727379237,1381.76416015625,-0.08623182773590088,3.1614204049433727,0.13763584041451116,151.49147033691406,-443.47821044921875,266.5,29.44752832578287
SeasonalNaive12,test,1056,3407.1926860686935,1016.4204711914062,0.23881292343139648,2.6464683854035402,0.11521684992792823,165.03407287597656,-989.3295288085938,153.0,21.66149005697897
