horizon,OutbreakThreshold,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc,n_train,n_val,n_test,n_features,adj_R2_train_log,AIC_train_log,BIC_train_log,condition_number,durbin_watson_train,jarque_bera_stat,jarque_bera_pvalue,breusch_pagan_stat,breusch_pagan_pvalue,max_vif_train,dropped_constant_cols
1,80.00000000000001,176,4081.6709091151333,1264.8024656076166,-0.09238066773463816,3.170355751129849,0.13802485151884025,152.33642294186325,-1263.3061755312772,154.64815224445476,26.954893972853228,-93.08400077966681,-19.795717095835297,-77.6890068064152,-24.4369355173238,1.0,0.1,0.18181818181818182,1.0,0.9053947368421053,0.9190424884241024,506,66,176,10,0.23010770321952578,1906.2767702249394,1952.7686735871014,7025057.862797485,0.34427075267194956,146.96539987810678,1.2214308956416773e-32,140.34735602149212,3.5772486465509805e-25,792.2035421505611,denv4
2,84.60000000000001,176,4076.680713473867,1263.4774955934788,-0.08971124087957061,3.1664797170734964,0.13785610420241706,154.454200165233,-1261.64611198297,156.38654955136184,26.92665681549511,-13.082663576401888,-19.649256472574606,-3.0206063527103977,-24.306579028706075,1.0,0.08080808080808081,0.14953271028037382,1.0,0.9134199134199135,0.9368249481166415,495,66,176,10,0.23597420460695862,1869.3001342414973,1915.5502696297528,7165935.34357188,0.36407177044475186,132.8823303192358,1.3962674054931267e-29,140.82870314949508,2.8502747344248645e-25,800.5078912086051,denv4
3,85.69999999999997,176,4080.2980202993926,1266.5973821975902,-0.09164593677946953,3.169289387366194,0.13797842622411075,153.62626770593963,-1263.5862264887628,158.76121891497783,26.993146417553838,9.310112115447733,-19.755423254455962,19.18315686306088,-24.613527456412253,0.8333333333333334,0.050505050505050504,0.09523809523809523,0.987012987012987,0.8728846910665092,0.874569676677496,484,66,176,10,0.23092040484639165,1838.7412207422703,1884.7441547161534,7147283.935756877,0.3816964690209332,128.32080214444383,1.3661294625866567e-28,140.1434246110625,3.9386126121957754e-25,794.5850538668666,denv4
4,86.0,176,4088.0842246484804,1271.0182271212288,-0.09581616558331607,3.1753371649277007,0.1382417227326015,158.40733477598056,-1267.5265013794801,161.46512533507268,27.087361450673544,13.609227261917123,-19.983945826271032,23.54490156043585,-25.048469994597976,0.75,0.030303030303030304,0.05825242718446602,0.987012987012987,0.8433687524596616,0.8512833487279529,473,66,176,10,0.22136571799824423,1810.6448290679946,1856.3948783414057,7183739.039468502,0.3678997142715966,120.58374456468137,6.53992193267852e-27,144.93229032525736,4.101873012005833e-26,782.2706341997284,denv4
5,86.90000000000006,176,4084.1700548664235,1268.5601108132337,-0.09371877378974025,3.172296912306714,0.1381093620609507,156.25889619509095,-1266.1304010487756,162.70842117071874,27.034975195699634,10.387865761588733,-19.869066212917286,21.667995374762594,-24.806629494733734,1.0,0.050505050505050504,0.09615384615384616,1.0,0.8048012593467138,0.8481243182587141,462,66,176,10,0.2225050052236881,1776.2040323848032,1821.6952461867024,7251530.015722026,0.345139731246351,105.60840304222529,1.1679564733572731e-23,152.15320127077393,1.3436222940257038e-27,778.9752726070608,denv4
6,94.0,176,4089.4355583100637,1270.2264941780597,-0.09654073872547331,3.1763867861590764,0.13828741912315956,157.64646528020626,-1268.6019618427447,153.73131599469667,27.070488398858544,4.987988644683439,-20.023607030868295,15.498439700434874,-24.970575759035473,1.0,0.041237113402061855,0.07920792079207921,1.0,0.8792900952629519,0.8958266357983931,451,66,176,10,0.2270079091037367,1739.877465653103,1785.1036063876325,7413687.520754737,0.36470689540749174,105.37389969423266,1.3132530347860802e-23,133.08292111375985,1.096639018462959e-23,774.3184379794787,denv4
