horizon,OutbreakThreshold,BestEpoch,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,94.0,39,176,4094.0625300549577,1278.7890625,-0.09902358055114746,3.179980720772548,0.1384438837432354,193.08323669433594,-1278.74658203125,173.4000244140625,27.252969954302326,-93.67018982726698,-20.159407091789472,-79.653948215622,-25.812997548254412,1.0,0.041237113402061855,0.07920792079207921,1.0,0.8362912697377007,0.8761349484263263
2,97.0,75,176,4092.7675233269724,1243.64501953125,-0.0983283519744873,3.178974850344817,0.1384000920914031,149.064453125,-1240.4920654296875,123.37767791748047,26.503996120238078,-13.528894978022588,-20.12139906443955,-1.4035234050126189,-22.35536913906313,0.96875,0.3263157894736842,0.4881889763779528,0.9876543209876543,0.8564002599090318,0.8809905166556028
3,107.19999694824219,61,176,4103.846732030815,1280.04296875,-0.10428285598754883,3.1875804028543335,0.13877474408328197,172.9424285888672,-1278.73486328125,168.11785888671875,27.279692633091866,8.786711269136449,-20.44657024566281,18.32524136674075,-25.936362463222174,0.0,0.0,0.0,0.9878048780487805,0.6656720290607161,0.6798061356025525
4,112.0,27,176,4081.4256087793638,1246.0089111328125,-0.09224939346313477,3.1701652463553143,0.1380165564986935,144.22023010253906,-1243.649169921875,153.00401306152344,26.55437430119207,13.749939057814887,-19.78851755192681,25.049277874638143,-22.58793938617667,1.0,0.20652173913043478,0.34234234234234234,1.0,0.8324275362318843,0.8566753814580027
5,112.0,2,176,4111.849948624098,1287.090087890625,-0.10859417915344238,3.1937967403635867,0.1390453790282733,195.31753540039062,-1287.0399169921875,174.15234375,27.429877625938442,9.780529213143152,-20.681462056331657,20.52379403565252,-26.62968961870189,0.0,0.0,0.0,1.0,0.7192675983436854,0.7262655803068501
6,116.0,60,176,4111.666572084852,1287.250732421875,-0.10849523544311523,3.1936543063252296,0.13903917800909144,197.12603759765625,-1287.2230224609375,174.3968505859375,27.433301209007663,4.471482687764794,-20.67608001439445,14.365905066547125,-26.64549454744971,0.0,0.0,0.0,1.0,0.670807453416149,0.741296906771578
