Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE
TFT,train,2145,155.4698108775003,23.85848726633677,0.8438267637049471,2.105825541053019,0.0244680218567045,130.04170100844306,-8.345917826468364,0.49934642557813536,0.5084612120105466
TFT,val,396,3.2518396345596767,1.0249402697344028,0.15760146022789256,2.8239659984334033,0.1250707551753722,176.2867809446887,-0.7575675888582495,0.1648974950506567,0.021843060122377456
TFT,test,1056,4111.233734743356,1287.0327862937254,-0.10826181508686261,3.1933180811013266,0.13902454128037894,195.89163253860517,-1286.9949289287724,174.22382386075589,27.428656440408762
NaiveLast,test,1056,4070.1671712699103,1381.764204545454,-0.08623183676883772,3.1614204542259148,0.13763584374644666,151.4914677625137,-443.4782196969698,266.5000000000001,29.447529271785363
SeasonalNaive12,test,1056,3407.192684401096,1016.4204545454543,0.23881289480180767,2.646468361296755,0.11521684987153742,165.03408530555566,-989.3295454545454,152.99999999999994,21.661489702228025
