n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,horizon,OutbreakThreshold,Coverage,MeanIntervalWidth,precision,recall,f1,specificity,roc_auc,pr_auc
176,4019.3620522006745,1249.1514486740239,-0.05928369923628951,3.121958600241487,0.13591782944003397,160.61212714450605,-1242.6795646875692,156.59239665902143,26.621346629703755,1,124.20000000000016,0.5852272727272727,3398.0084796618407,0.7692307692307693,0.10869565217391304,0.19047619047619047,0.9642857142857143,0.7220496894409937,0.7557584033937034
176,4035.5281939435877,1255.4411983617176,-0.06782185439904564,3.1345153255604656,0.13646449999809274,162.6758985453652,-1248.6006258162079,163.12122025697158,26.75539090978517,2,131.89999999999992,0.5511363636363636,2527.7462491386495,0.75,0.09782608695652174,0.17307692307692307,0.9642857142857143,0.6754658385093167,0.7239745602683089
176,4047.997673231398,1260.4581682739633,-0.07443102837229487,3.1442007426981924,0.1368861650626068,165.0744149312123,-1253.9122609556864,170.08828515257636,26.862310287100435,3,136.4000000000001,0.5056818181818182,2144.094227625153,0.7272727272727273,0.08695652173913043,0.1553398058252427,0.9642857142857143,0.650103519668737,0.7025770658663824
176,4055.7169180744563,1263.7742749722995,-0.07853266314882168,3.150196510810687,0.13714719728373012,167.38028431750587,-1258.4758082431251,169.68903490248698,26.932981642420238,4,139.70000000000013,0.4943181818181818,1856.879572388247,0.7272727272727273,0.08791208791208792,0.1568627450980392,0.9647058823529412,0.6592113768584358,0.7047395396364748
176,4058.902447789312,1265.624575428733,-0.08022757785156465,3.1526708069204825,0.1372549184292345,169.38210963621862,-1262.0992407675787,167.7310067568173,26.97241440285301,5,145.0,0.4659090909090909,1770.475852540761,0.8,0.08888888888888889,0.16,0.9767441860465116,0.6950904392764857,0.721122007304014
176,4058.655426092498,1266.568709872148,-0.08009609820511798,3.1524789377878193,0.13724656519993605,170.9392713668231,-1264.7555362731878,169.10444319783588,26.992535366015545,6,150.0,0.4659090909090909,1589.2611438704373,0.8888888888888888,0.0898876404494382,0.16326530612244897,0.9885057471264368,0.7415730337078651,0.7471865072104742
