horizon,OutbreakThreshold,SupportVectors,SupportVectorRatio,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,80.00000000000001,498,0.9841897233201581,176,4111.556849173708,1286.326248254258,-0.10843602530212837,3.193569053733699,0.13903546764418093,180.91389641046106,-1285.9905535814648,173.041689939919,27.413599023571354,-94.49775926291058,-20.672859741609308,-80.71283041934714,-26.55454172550138,0.0,0.0,0.0,1.0,0.6759210526315789,0.7227892225380963
2,84.60000000000001,492,0.9939393939393939,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,-14.06274823662239,-20.6862536317044,-4.975168170783739,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5625
3,85.69999999999997,423,0.8739669421487604,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,8.605201220741721,-20.6862536317044,17.852701796363725,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5625
4,86.0,460,0.9725158562367865,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,13.103551993500574,-20.6862536317044,22.556555441250325,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5625
5,86.90000000000006,427,0.9242424242424242,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,9.776949943322343,-20.6862536317044,20.501638447018866,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5625
6,94.0,440,0.975609756097561,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,4.463430285534886,-20.6862536317044,14.35272505981563,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5511363636363636
