horizon,OutbreakThreshold,SupportVectors,SupportVectorRatio,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,80.00000000000001,482,0.9525691699604744,176,4111.9863044062595,1287.381494199512,-0.10866759136286541,3.1939026244444912,0.13904999000426993,198.09639552873094,-1287.3629431950371,174.41407955889147,27.436087944444814,-94.51807470144131,-20.6854641133702,-80.86107934283307,-26.658361551296395,0.0,0.0,0.0,1.0,0.23236842105263159,0.41971614321628875
2,84.60000000000001,481,0.9717171717171718,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,-14.06274823662239,-20.6862536317044,-4.975168170783739,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5625
3,85.69999999999997,424,0.8760330578512396,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,8.605201220741721,-20.6862536317044,17.852701796363725,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5625
4,86.0,457,0.9661733615221987,176,4111.995152757932,1287.4036544746816,-0.1086723627266617,3.1939094972236153,0.1390502892181098,198.70397924988998,-1287.3912055749543,174.44234193967054,27.436560214134232,13.103933475696783,-20.685723809621415,22.55927489155639,-26.66054177849182,0.0,0.0,0.0,1.0,0.1827364554637282,0.3971304148235719
5,86.90000000000006,412,0.8917748917748918,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,9.776949943322343,-20.6862536317044,20.501638447018866,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5625
6,94.0,441,0.9778270509977827,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,4.463430285534886,-20.6862536317044,14.35272505981563,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5511363636363636
