Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE
TFT,train,2145,41.42953409316429,10.160657942441981,0.9889099228290118,0.5611595624571388,0.0065202288468939745,121.20582042244463,-2.078696513054296,0.29045616698789467,0.21653931343451308
TFT,val,396,2.8951489049667463,0.9000364540971064,0.33226955807447445,2.514208259576385,0.11135188096025947,167.81807819505553,-0.2811034699449217,0.12012711835224096,0.019181166902798127
TFT,test,1056,4110.336971590606,1286.417011137809,-0.10777838844081722,3.192621538366249,0.1389942165423582,193.97696734047994,-1286.3091724706796,174.35223339079374,27.415533320799035
NaiveLast,test,1056,4070.1671712699103,1381.764204545454,-0.08623183676883772,3.1614204542259148,0.13763584374644666,151.4914677625137,-443.4782196969698,266.5000000000001,29.447529271785363
SeasonalNaive12,test,1056,3407.192684401096,1016.4204545454543,0.23881289480180767,2.646468361296755,0.11521684987153742,165.03408530555566,-989.3295454545454,152.99999999999994,21.661489702228025
