horizon,n_train,n_val,n_test,n_features,adj_R2_train_log,AIC_train_log,BIC_train_log,condition_number,durbin_watson_train,jarque_bera_stat,jarque_bera_pvalue,breusch_pagan_stat,breusch_pagan_pvalue,max_vif_train,dropped_constant_cols
1,506,66,176,5,0.1905846450923554,1926.6933957187262,1952.052615734451,6917251.07860709,0.28858270630359595,181.43282774387785,4.0027829144398814e-40,131.0629117463283,1.415765337730506e-26,2.4753616557608273,denv4
2,495,66,176,5,0.18364033483951592,1897.1830062395575,1922.4103528149697,7058697.034662336,0.2942709958361631,171.51220175047104,5.709506876404083e-38,124.71876167289692,3.1389583561849683e-25,2.5302509690154933,denv4
3,484,66,176,5,0.1743018919800824,1868.2114667971766,1893.3039762374765,7045700.903895323,0.3012505020528379,164.93626557094794,1.529484212127998e-36,113.80384766946668,6.430726837054314e-23,2.5929424631963167,denv4
4,473,66,176,5,0.17471525413056876,1833.2588296136378,1858.2134019445894,7067654.536297747,0.29365561459104417,150.93637421980145,1.6771919873442645e-33,113.41354790654786,7.777027035607142e-23,2.659842422049914,denv4
5,462,66,176,5,0.18257817086226147,1794.4338678256552,1819.2472571721455,7136561.823637484,0.28976623184000905,133.4996584078087,1.0254571292458104e-29,118.41448849401083,6.799894005674798e-24,2.7268820791904003,denv4
6,451,66,176,5,0.19747749372290846,1751.8820434968152,1776.5508475338313,7257056.553778216,0.30994458913966094,116.29584768189486,5.580556914605066e-26,121.62031486442707,1.423902198552664e-24,2.791212554981611,denv4
