horizon,OutbreakThreshold,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,precision,recall,f1,specificity,roc_auc,pr_auc
1,196.60000000000005,176,1949.2548666411415,650.8751737028738,0.7508646881651323,1.5140444965988982,0.0659155575084927,97.67333839767107,86.5401202089099,116.29963105235842,13.87115519915993,0.85,0.8,0.8242424242424243,0.8681318681318682,0.9475113122171945,0.9485239583517946
2,210.60000000000016,176,3551.7170541927844,1227.6869738024425,0.17286813038299065,2.7587247575496385,0.12010405296201791,133.879771065795,26.653692986710347,246.29151207520837,26.163905519270354,0.7183098591549296,0.6,0.6538461538461539,0.7802197802197802,0.7964447317388494,0.8204162033494724
3,223.9999999999998,176,4613.36576065568,1644.6934740002578,-0.3955127524680897,3.583339028802555,0.1560045232197921,154.2138241437429,-122.14388151121358,305.0384204444657,35.05095808634674,0.6129032258064516,0.4523809523809524,0.5205479452054794,0.7391304347826086,0.6491330227743272,0.6799713322908778
4,270.7999999999997,176,4969.9787476891315,1767.4411000533464,-0.6195974959955584,3.860330991051221,0.16806366656597946,169.42048044113548,-362.481697179464,332.9879782569339,37.66689957574837,0.4897959183673469,0.3037974683544304,0.375,0.7422680412371134,0.545739266605768,0.5446900619123213
5,232.60000000000053,176,4867.433868844696,1737.3613896356705,-0.5534531240137048,3.780681319719965,0.16459603235644218,176.97814586796736,-629.8266279374449,360.4270001200956,37.025854489982294,0.375,0.17857142857142858,0.24193548387096772,0.7282608695652174,0.4210662525879917,0.46001014627850817
6,150.0,176,4319.553374448002,1519.724818558381,-0.22342041389327272,3.355126169630958,0.14606903065223903,173.55161228939167,-928.2501087520636,304.51015392440263,32.38768303038963,0.3055555555555556,0.12359550561797752,0.17600000000000002,0.7126436781609196,0.35451375435877563,0.4287999291427936
