Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE
SARIMAX,train,1353,22277.372794107792,3530.416062612971,-2065.382302826757,202.01121530252036,3.5060391555095696,173.63416115135448,3363.813188588958,4.93495872276466,75.23861886375622
SARIMAX,val,396,10.242932596005398,3.318337046260218,-7.358108312590456,8.895178307057321,0.39395894600020775,179.84640472178447,1.9112817421840709,0.9158329004590213,0.07071888747873777
SARIMAX,test,1056,4535.541927948634,1528.5598691138446,-0.3488274803707603,3.5228909326449847,0.15337285026202643,152.56021675395877,-208.65109647090878,279.1548070596765,32.5759716030664
NaiveLast,test,1056,4070.1671712699103,1381.7642045454538,-0.08623183676883772,3.1614204542259148,0.13763584374644666,151.4914677625137,-443.4782196969697,266.5000000000001,29.44752927178536
SeasonalNaive12,test,1056,3407.192684401096,1016.420454545454,0.23881289480180745,2.646468361296755,0.11521684987153742,165.03408530555566,-989.3295454545455,153.0,21.66148970222802
