horizon,OutbreakThreshold,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,precision,recall,f1,specificity,roc_auc,pr_auc
1,196.60000000000005,176,2043.0577744457266,709.2927801468456,0.7263097480908575,1.5869040178226317,0.06908757522134898,101.02826344302109,150.6518174057507,121.65201208075557,15.116124615857473,0.85,0.8,0.8242424242424243,0.8681318681318682,0.9467356173238526,0.9482441195316614
2,210.60000000000016,176,3812.4104808265784,1339.0085654681911,0.046990251793238236,2.961213131260632,0.1289196023544768,137.32541924285294,146.48035367314085,265.90511790437125,28.536340568879453,0.7285714285714285,0.6,0.6580645161290323,0.7912087912087912,0.7930187459599225,0.8186485285540254
3,223.9999999999998,176,5060.721886835286,1787.568271940918,-0.6792794593370057,3.930813898535292,0.17113221584050112,156.0136183941677,28.907227583461815,316.0782359231699,38.09584069418796,0.6440677966101694,0.4523809523809524,0.5314685314685315,0.7717391304347826,0.6516563146997931,0.6767985850330538
4,270.7999999999997,176,5544.462922797437,1908.3279770447602,-1.0156587146692302,4.306550014838846,0.18749029226286526,169.83583909622234,-205.9327132558484,326.96746073479704,40.669416517906285,0.5,0.3037974683544304,0.3779527559055118,0.7525773195876289,0.5396058984731827,0.5345498301797337
5,232.60000000000053,176,5386.1045316714035,1847.9223227773355,-0.9021623835190624,4.183548320869615,0.18213528106558288,176.59117617244434,-501.681625676254,360.81899642026565,39.38207873164015,0.38461538461538464,0.17857142857142858,0.24390243902439027,0.7391304347826086,0.421195652173913,0.4521377846228113
6,150.0,176,4399.56675057672,1579.2392973050164,-0.2691643245833586,3.4172749495853885,0.14877474471042645,174.56698417504393,-870.3316385557041,300.932763275614,33.656028489927074,0.3142857142857143,0.12359550561797752,0.17741935483870966,0.7241379310344828,0.35748417925868525,0.4262102383590202
