horizon,OutbreakThreshold,SupportVectors,SupportVectorRatio,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,80.00000000000001,486,0.9604743083003953,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,-94.51934722906043,-20.6862536317044,-80.87054391034363,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5681818181818182
2,84.60000000000001,464,0.9373737373737374,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,-14.06274823662239,-20.6862536317044,-4.975168170783739,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5625
3,85.69999999999997,403,0.8326446280991735,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,8.605201220741721,-20.6862536317044,17.852701796363725,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5625
4,86.0,447,0.945031712473573,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,13.103551993500574,-20.6862536317044,22.556555441250325,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5625
5,86.90000000000006,393,0.8506493506493507,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,9.776949943322343,-20.6862536317044,20.501638447018866,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5625
6,94.0,424,0.9401330376940134,176,4112.0132048171845,1287.4488636363635,-0.10868209710735566,3.193923518797413,0.13905089966242376,200.0,-1287.4488636363635,174.5,27.4375236911932,4.463430285534886,-20.6862536317044,14.35272505981563,-26.664989658449322,0.0,0.0,0.0,1.0,0.5,0.5511363636363636
