horizon,OutbreakThreshold,ModelSize,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,80.00000000000001,800,176,4111.086386103756,1286.863941994604,-0.10818237521313279,3.1932036310103276,0.13901955857242548,193.35641110688405,-1286.7856490527329,174.33135059114656,27.425058107622025,-94.47550394302124,-20.659051803123596,-80.78836969863073,-26.607442445665107,0.0,0.0,0.0,1.0,0.5148684210526316,0.6169450100747436
2,84.60000000000001,800,176,4110.902156825406,1286.6603122660524,-0.10808305593564205,3.1930605346252565,0.13901332871721278,193.26145571805705,-1286.6060981409503,174.3647979671881,27.420718443609598,-14.031928980687947,-20.653644733567678,-4.910871781973469,-26.587408440284687,0.0,0.0,0.0,1.0,0.6307228125409944,0.6976053034360441
3,85.69999999999997,1200,176,4110.956186502933,1286.5941629178644,-0.10811218324703686,3.1931025010901415,0.13901515577245174,191.63833379420586,-1286.5322849661172,174.4251155200172,27.419308698835007,8.628694816536564,-20.65523048707596,17.907237053476067,-26.580900370923,0.0,0.0,0.0,1.0,0.5116096025186934,0.6227777425610217
4,86.0,1200,176,4111.087480609178,1286.7413574044067,-0.1081829652818711,3.1932044811453912,0.13901959558397092,191.52707142056704,-1286.6619623143988,174.42139090999189,27.422445640678514,13.123114709256246,-20.659083926502685,22.599113807020878,-26.595382024247094,0.0,0.0,0.0,1.0,0.475141020595566,0.5954748942034558
5,86.90000000000006,800,176,4110.955160787488,1286.6164760684967,-0.10811163028194204,3.1931017043863084,0.1390151210870925,190.68011161922863,-1286.504985457688,174.29284817054923,27.419784226536642,9.800164839456826,-20.6552003826604,20.553037341135383,-26.583095638691635,0.0,0.0,0.0,1.0,0.49980322707595437,0.6159550132891141
6,94.0,800,176,4110.090108197956,1286.0774346898868,-0.10764532795406101,3.19242979219316,0.13898586866623722,189.32677548640174,-1285.9648230453279,173.4687307930227,27.4082964222332,4.508110602712689,-20.629811369779148,14.443959092760494,-26.530062331835257,0.0,0.0,0.0,1.0,0.7808952107529687,0.8140732523992229
