horizon,n_train,n_val,n_test,n_features,adj_R2_train_log,AIC_train_log,BIC_train_log,condition_number,durbin_watson_train,jarque_bera_stat,jarque_bera_pvalue,breusch_pagan_stat,breusch_pagan_pvalue,max_vif_train,dropped_constant_cols
1,506,66,176,9,0.23059034440844484,1904.9806532390846,1947.2460199319594,6425042.295001789,0.341417674204925,146.56958599032677,1.4887397856598148e-32,140.5986049443784,7.7612909249615e-26,790.896908436434,
2,495,66,176,9,0.23662670128541874,1867.8988837294353,1909.9444613551223,6622599.53208151,0.3608907701142855,133.16039891019784,1.2150293607518592e-29,140.06566016220933,9.99937252396626e-26,800.22372870324,
3,484,66,176,9,0.23105301145405788,1837.679936739073,1879.5007858062393,6662581.954111497,0.3765231296953867,130.3682072787822,4.90798788013871e-29,135.97716371246256,6.972924084565523e-25,794.3283321028025,
4,473,66,176,9,0.22064089404723086,1810.107638983713,1851.6985928686324,6762583.0886863535,0.3701174818002946,124.63434594553274,8.629699042382472e-28,136.9390316788226,4.416741978606679e-25,782.154136071644,
5,462,66,176,9,0.2240191561162843,1774.3266786217234,1815.6823275325407,6884948.192223105,0.34558915992378714,104.99423432136719,1.587785023735539e-23,151.950332179476,3.4778618033626836e-28,778.3980169023802,
6,451,66,176,9,0.21832777433981,1743.9374785108525,1785.0521519058793,7105314.417578081,0.3636406143225772,102.58022299737861,5.308692865036366e-23,136.44065856868534,5.595812251209579e-25,773.0494513557072,
