horizon,OutbreakThreshold,ModelSize,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,80.00000000000001,800,176,4111.078985888206,1286.8204742404264,-0.10817838561997206,3.1931978830417993,0.1390193083284261,192.12026555461114,-1286.7387681162825,174.32968794860386,27.4241317426465,-94.47515387481222,-20.65883460919784,-80.78226302009558,-26.60316589318301,0.0,0.0,0.0,1.0,0.5575,0.6164652617091153
2,84.60000000000001,800,176,4110.786478612401,1286.6203553704554,-0.10802069528612357,3.1929706839008727,0.13900941696917393,193.20168882058638,-1286.5723763747644,174.35831671110182,27.41986690045279,-14.028720193597731,-20.65024961554178,-4.907613802605626,-26.58347730180568,0.0,0.0,0.0,1.0,0.650137741046832,0.7020804409038398
3,85.69999999999997,1200,176,4110.824634585254,1286.569218622077,-0.1080412644905806,3.193000320785048,0.13901070724284,191.29718372884867,-1286.5044056819472,174.44853683993193,27.41877709736643,8.631618727634704,-20.651369480967286,17.908828655723276,-26.578446239301012,0.0,0.0,0.0,1.0,0.5533254624163715,0.6491461032789274
4,86.0,1200,176,4111.03346580247,1286.7201270899088,-0.1081538450572519,3.193162526231116,0.1390177690316002,191.37934870674954,-1286.6429042772795,174.40001253486759,27.421993189887296,13.12425616834425,-20.657498609448123,22.600390866429,-26.59329329075073,0.0,0.0,0.0,1.0,0.4941624032533123,0.6007689565047852
5,86.90000000000006,800,176,4110.890935142525,1286.5361274269342,-0.1080770063926404,3.1930518184088714,0.1390129492473467,190.17597006190522,-1286.421432635317,174.16501033118195,27.418071872890067,9.80157403570493,-20.653315380815428,20.557998769536656,-26.575190579205344,0.0,0.0,0.0,1.0,0.5648694739603831,0.661910342093412
6,94.0,800,176,4110.035453325444,1285.9724980512274,-0.10761586981076765,3.19238734012065,0.13898402046954736,188.33734410174367,-1285.844546041559,173.17889324134984,27.40606006039343,4.509380428167498,-20.628207267000853,14.450939981397248,-26.519738194989138,0.0,0.0,0.0,1.0,0.7846796293879681,0.8097600542069296
