ablation,horizon,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Coverage80_mean,Coverage80_std,runs
full,1,4111.249315238002,,1287.0738180265078,,-0.1082702151444172,,0.1136363636363636,,1
full,2,4111.04251502406,,1286.8415825037605,,-0.1081587236070467,,0.1079545454545454,,1
full,3,4110.978897827775,,1286.6227635674395,,-0.1081244269996488,,0.0852272727272727,,1
full,4,4110.982767449079,,1286.528711893579,,-0.1081265131324242,,0.0909090909090909,,1
full,5,4110.98667915249,,1286.512815642009,,-0.1081286219538759,,0.0852272727272727,,1
full,6,4110.970787061928,,1286.5143591184803,,-0.1081200544503784,,0.0852272727272727,,1
no_climate,1,4110.876090891849,,1286.5680127448074,,-0.1080690039700933,,0.0738636363636363,,1
no_climate,2,4110.819702777079,,1286.5222334418434,,-0.108038605830008,,0.096590909090909,,1
no_climate,3,4110.784233748274,,1286.5024227939853,,-0.1080194851258562,,0.0909090909090909,,1
no_climate,4,4110.746150941675,,1286.463360487043,,-0.1079989555656053,,0.0738636363636363,,1
no_climate,5,4110.719398356822,,1286.419306148091,,-0.1079845339795799,,0.0738636363636363,,1
no_climate,6,4110.699401255793,,1286.3957752736844,,-0.1079737541512213,,0.0738636363636363,,1
no_population_density,1,4110.731700358608,,1286.824708671238,,-0.107991165640265,,0.1079545454545454,,1
no_population_density,2,4111.22412651036,,1287.0174311502485,,-0.1082566349263642,,0.1193181818181818,,1
no_population_density,3,4111.345949385892,,1287.0779491619908,,-0.1083223151258605,,0.1193181818181818,,1
no_population_density,4,4111.362578357767,,1287.0896079604738,,-0.1083312807045817,,0.1193181818181818,,1
no_population_density,5,4111.367624942513,,1287.092877384399,,-0.1083340015987184,,0.1193181818181818,,1
no_population_density,6,4111.370390239599,,1287.094143434003,,-0.1083354925253858,,0.1193181818181818,,1
no_serotype,1,4110.457733575902,,1286.699380350471,,-0.107843482608803,,0.0795454545454545,,1
no_serotype,2,4110.324516543909,,1286.566419605912,,-0.1077716749228023,,0.0795454545454545,,1
no_serotype,3,4110.292182118086,,1286.434610001135,,-0.1077542461188141,,0.0852272727272727,,1
no_serotype,4,4110.317953113075,,1286.3406363677964,,-0.1077681371111607,,0.0852272727272727,,1
no_serotype,5,4110.338677188181,,1286.2645866029509,,-0.1077793077934339,,0.0852272727272727,,1
no_serotype,6,4110.290764663502,,1286.1964338985886,,-0.1077534820898871,,0.0852272727272727,,1
no_temporal,1,4111.062518250225,,1287.0203780021352,,-0.1081695076373374,,0.096590909090909,,1
no_temporal,2,4110.698417982403,,1286.827661326373,,-0.1079732240998248,,0.096590909090909,,1
no_temporal,3,4110.656243554911,,1286.7990155981015,,-0.1079504893273146,,0.1022727272727272,,1
no_temporal,4,4110.645898410399,,1286.7891963562604,,-0.1079449126539942,,0.1022727272727272,,1
no_temporal,5,4110.645149152229,,1286.7853004860406,,-0.1079445087580019,,0.1022727272727272,,1
no_temporal,6,4110.648077429391,,1286.783889724442,,-0.1079460872789588,,0.1022727272727272,,1
