horizon,OutbreakThreshold,ModelSize,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,80.00000000000001,800,176,4111.082764983769,1286.8236273846533,-0.10818042299943365,3.1932008183782385,0.1390194361214588,192.21969374718856,-1286.7415203512135,174.3273156852549,27.424198941019867,-94.47533264544485,-20.658945524426684,-80.78270599762072,-26.60347611364471,0.0,0.0,0.0,1.0,0.5599999999999999,0.6174311477769647
2,84.60000000000001,800,176,4110.909939819481,1286.6638530634139,-0.10808725171150568,3.1930665799093023,0.13901359190516338,192.95291905625916,-1286.6125619633438,174.37724817637894,27.420793903469974,-14.03214487242992,-20.653873161919,-4.9111604892060345,-26.587756799799255,0.0,0.0,0.0,1.0,0.6460711006165551,0.7004278431738807
3,85.69999999999997,1200,176,4110.82148612718,1286.573117486296,-0.10803956720575791,3.1929978752835892,0.13901060077530064,191.1418505753417,-1286.504272849756,174.44568793520853,27.418860188184556,8.631688706177531,-20.65127707474417,17.908579883775356,-26.57882982703792,0.0,0.0,0.0,1.0,0.545716909353273,0.6447265647065337
4,86.0,1200,176,4111.027905136031,1286.7151419890752,-0.10815084723698143,3.193158207095346,0.13901758099337352,191.34998966728185,-1286.6349117111627,174.38996157992435,27.421886949689263,13.124373678220325,-20.657335405692013,22.60069073339144,-26.59280283418708,0.0,0.0,0.0,1.0,0.4792076610258429,0.5937192666203884
5,86.90000000000006,800,176,4111.092299509748,1286.6380900866475,-0.1081855632449058,3.1932082241294477,0.13901975853881235,189.93094180735335,-1286.5114230759339,174.1227979650313,27.42024485464532,9.7971558331169,-20.659225359671176,20.551702702472753,-26.585222122673137,0.0,0.0,0.0,1.0,0.5324675324675324,0.6452724786560838
6,94.0,800,176,4110.419096643312,1286.0941985741165,-0.10782265598774887,3.1926853273484954,0.13899699366438936,187.61754661255821,-1285.9518116152854,173.3497690982628,27.408653686497203,4.500467040793154,-20.639467073927054,14.442843878756861,-26.531711637902934,0.0,0.0,0.0,1.0,0.7701944408195225,0.8014199525135037
