horizon,OutbreakThreshold,BestIteration,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,80.00000000000001,965,176,4109.831926556242,1286.251685627011,-0.1075061754295461,3.192229254797846,0.1389771380547901,193.35557104540962,-1286.1965737951525,174.3318719677627,27.412009978826084,-94.41616156250024,-20.62223382234849,-80.70235529810044,-26.547205920036877,0.0,0.0,0.0,1.0,0.6947368421052632,0.7527508337417026
2,84.60000000000001,376,176,4109.007985708059,1285.8733070362412,-0.10706215332708502,3.191589275322579,0.13894927585919348,193.68033944610087,-1285.8305735183,174.30176474153996,27.403946146667995,-13.979386745896027,-20.59805142573925,-4.846701461361769,-26.50997933835233,0.0,0.0,0.0,1.0,0.7671520398793126,0.794518555657257
3,85.69999999999997,608,176,4110.385070740158,1286.1896833362882,-0.10780431503053722,3.1926588984128577,0.13899584305221727,189.53628541124075,-1286.1148294090312,174.4727748017758,27.410688614251022,8.641388601215393,-20.638468424707447,17.93304538322298,-26.541105856776092,0.0,0.0,0.0,1.0,0.6524990161353798,0.7097233860465004
4,86.0,224,176,4110.268203463852,1286.289542958979,-0.10774132130598457,3.19256812410748,0.1389918910950853,190.59795607256916,-1286.202079974784,174.2145441249013,27.412816777039275,13.140427949831036,-20.6350384080594,22.62629163749137,-26.55093049403563,0.0,0.0,0.0,1.0,0.6661419388692116,0.7101414378673223
5,86.90000000000006,528,176,4110.337125946835,1286.1766335596224,-0.10777847164202425,3.192621658259344,0.1389942217620332,190.8310404031664,-1286.0969909390074,174.3467828221619,27.410410503355475,9.813725347555312,-20.637061260576605,20.58019706746277,-26.539821961257527,0.0,0.0,0.0,1.0,0.5803489439853077,0.6734552032915679
6,94.0,309,176,4110.374016499886,1286.3142093013141,-0.10779835650431902,3.1926503122541496,0.13899546924455217,192.74739675035693,-1286.2702501015035,174.07732950150967,27.413342454890497,4.501514411521457,-20.63814398634145,14.428207709683038,-26.553357279351175,0.0,0.0,0.0,1.0,0.7047500978728958,0.7688336027323506
