Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE
AttentionLSTM,train,2541,186.23486725436243,22.986141204833984,0.7359700202941895,2.986273398235737,0.029309862646264152,131.155029296875,-9.5980806350708,0.450204998254776,0.48987017014050455
AttentionLSTM,val,396,3.134348808932198,1.0157554149627686,0.2173742651939392,2.7219345517400453,0.12055187726662299,170.33029174804688,-0.7149150371551514,0.21347561478614807,0.021647316681597147
AttentionLSTM,test,1056,4063.2993982722955,1269.04248046875,-0.08256924152374268,3.156086076941073,0.137403604702837,181.07562255859375,-1268.8016357421875,172.57044982910156,27.045255238057013
NaiveLast,test,1056,4070.1670727379237,1381.76416015625,-0.08623182773590088,3.1614204049433727,0.13763584041451116,151.49147033691406,-443.47821044921875,266.5,29.44752832578287
SeasonalNaive12,test,1056,3407.1926860686935,1016.4204711914062,0.23881292343139648,2.6464683854035402,0.11521684992792823,165.03407287597656,-989.3295288085938,153.0,21.66149005697897
