horizon,OutbreakThreshold,BestEpoch,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,94.0,53,176,4007.5959127636606,1252.4686279296875,-0.05309104919433594,3.112819515012202,0.13551994835532466,176.7503662109375,-1252.3289794921875,156.00296020507812,26.69204084287672,-89.57987463017535,-17.621639925146937,-75.95625472732819,-23.223475267238115,1.0,0.12371134020618557,0.22018348623853212,1.0,0.9142633433381183,0.9313864955638673
2,97.00000000000023,70,176,3948.967966443891,1225.9864501953125,-0.022504568099975586,3.06728143697194,0.13353739910874785,167.26991271972656,-1225.3876953125,153.74655151367188,26.127664734819874,-9.540052538715216,-15.900928720304087,0.03630960266565175,-20.61803996905549,1.0,0.21052631578947367,0.34782608695652173,1.0,0.8875893437296947,0.9189966460011492
3,107.19999999999993,73,176,4110.531109236372,1286.018310546875,-0.10788309574127197,3.192772358396781,0.13900078145666075,189.10507202148438,-1285.89111328125,173.4706573486328,27.407036395431028,8.638142361024526,-20.642754548149966,17.943977135050492,-26.52424336155461,0.0,0.0,0.0,1.0,0.7824338349766476,0.789431168442156
4,112.0,67,176,4111.397815828578,1286.44091796875,-0.10835039615631104,3.1934455553090286,0.1390300898088928,180.54522705078125,-1286.1290283203125,173.03427124023438,27.41604281228942,13.116556281216962,-20.668192105460715,22.617186031429746,-26.565821373199693,0.0,0.0,0.0,1.0,0.36633022774327123,0.4754075402705964
5,112.0,51,176,4090.0326404565526,1277.6053466796875,-0.09686100482940674,3.176850585085637,0.13830760991669663,179.6869354248047,-1277.3995361328125,169.51602172851562,27.227743141975406,10.259230046457457,-20.041131139423097,21.109464963500624,-25.69653828224565,1.0,0.03260869565217391,0.06315789473684211,1.0,0.8000776397515528,0.8278295730438308
6,116.0,8,176,4108.383623762513,1285.7362060546875,-0.10672581195831299,3.1911043422502567,0.1389281625781994,193.14186096191406,-1285.6734619140625,173.60626220703125,27.40102431300476,4.547757157045695,-20.579726546163467,14.466658627170814,-26.496488657651728,0.0,0.0,0.0,1.0,0.8513198757763975,0.8517795513281817
