horizon,OutbreakThreshold,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc,n_train,n_val,n_test,n_features,adj_R2_train_log,AIC_train_log,BIC_train_log,condition_number,durbin_watson_train,jarque_bera_stat,jarque_bera_pvalue,breusch_pagan_stat,breusch_pagan_pvalue,max_vif_train,dropped_constant_cols
1,80.00000000000001,176,4107.356463845401,1283.320056979386,-0.10617241549903023,3.1903064889461215,0.13889342837296806,176.66929032953382,-1282.9938236142334,172.22004910200434,27.349532444576063,-94.29905946028943,-20.54957979482095,-80.29049795524531,-26.258779153877775,1.0,0.01,0.019801980198019802,1.0,0.7194736842105263,0.743760972595388,506,66,176,7,0.1054353810328148,1979.2779553527457,2013.0902487070455,76558.58206537199,0.2973840438721102,342.82532688984065,3.6010250089107573e-75,36.17079279693712,6.730641829378975e-06,109.10292755830402,denv4
2,84.60000000000001,176,4108.782480178826,1284.2906878584622,-0.10694064381082513,3.191414118440156,0.13894165021570526,174.46986333370452,-1283.6993072613886,172.6300073693621,27.370218087705094,-13.973131469191946,-20.59143291160983,-4.7176588880758485,-26.354274170210388,0.0,0.0,0.0,1.0,0.5454545454545455,0.6112383915438278,495,66,176,7,0.07503140903715921,1960.9821697075806,1994.6186318081302,76478.23690057741,0.3056777598441685,380.6593692167361,2.192139724839026e-83,17.607890133701787,0.01387010627110258,109.84774453217942,denv4
3,85.69999999999997,176,4108.533599666762,1284.3263705241482,-0.10680654685543667,3.1912208055101488,0.13893323412913475,174.4884538924454,-1283.5561913652293,172.99876355578238,27.37097854042114,8.682539934581834,-20.584128349317155,18.051936406819213,-26.357784790793293,0.0,0.0,0.0,1.0,0.48694739603830517,0.5885131533094105,484,66,176,7,0.0943538862096388,1914.9131066113187,1948.3697858650517,76436.49908130582,0.32790884229149225,329.157411277063,3.3448473492556167e-72,27.676195429336726,0.00025166468162372016,116.74782549863346,denv4
4,86.0,176,4107.108775618907,1283.6217755778541,-0.10603900724725501,3.190114102099941,0.13888505260445413,175.82164939045813,-1282.789423342344,171.44441660080543,27.35596253390028,13.207194043173565,-20.54231022572297,22.786764881214804,-26.28846358192316,0.0,0.0,0.0,0.987012987012987,0.6455463728191001,0.7102781446127817,473,66,176,7,0.15011192915606375,1849.123719632658,1882.3964827405935,76384.76679024211,0.32950555878053434,210.36554603233918,2.087863431593835e-46,66.42437915141988,7.775120142022173e-12,115.4224391974916,denv4
5,86.90000000000006,176,4104.819283385943,1282.5651163541368,-0.10480623643292852,3.1883357850749854,0.13880763165785046,176.86822595405886,-1282.1425836503174,172.01673656159298,27.333443493880022,9.93479416732297,-20.47511437139262,20.803203750419918,-26.1845047114585,0.0,0.0,0.0,1.0,0.7445887445887446,0.7865245083327107,462,66,176,7,0.1902622825488004,1792.0395576534659,1825.1240767821198,76331.66260985428,0.36139725277160484,123.60148068221586,1.4463702899119801e-27,120.32001319902089,6.571318541231157e-23,113.8752784678071,denv4
6,94.0,176,4105.772222286242,1282.609127195119,-0.10531926025843852,3.189075961191657,0.13883985602212406,183.02557900429605,-1282.3146623839714,169.62246801246675,27.334381432874128,4.608430321516199,-20.50308281898474,14.67468754650464,-26.188834695254613,0.0,0.0,0.0,1.0,0.8304841445908913,0.8504069552961949,451,66,176,7,0.19665782064696502,1754.310911692011,1787.2026504080322,76096.42514789371,0.40517134739025573,126.56744492836299,3.2826799268210725e-28,108.74669013187243,1.6707021826364114e-20,111.21070843257787,denv4
