Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE
RandomForest,train,2871,247.7560980275199,31.568575071699037,0.47378733378059457,4.482966158714114,0.03899214636882594,138.47008146253447,-20.104029779953596,0.3670860505415695,0.6727750910280805
RandomForest,val,396,2.871569436143711,1.0404466404201935,0.3431018940774221,2.493731352440591,0.11044497831321966,159.9967568805895,-0.2904780331627754,0.34888147585909246,0.022173524830586617
RandomForest,test,1056,4110.9063078770305,1286.6477364500465,-0.10808529374725473,3.1930637588710824,0.13901346908822673,191.5166538230973,-1286.56162628742,174.3849946244249,27.420450433547728
NaiveLast,test,1056,4070.1671712699103,1381.7642045454538,-0.08623183676883772,3.1614204542259148,0.13763584374644666,151.4914677625137,-443.4782196969697,266.5000000000001,29.44752927178536
SeasonalNaive12,test,1056,3407.192684401096,1016.4204545454543,0.23881289480180745,2.646468361296755,0.11521684987153742,165.03408530555566,-989.3295454545453,152.99999999999994,21.661489702228025
