horizon,OutbreakThreshold,ModelSize,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,80.00000000000001,800,176,4111.2126225166585,1286.8640539238638,-0.10825043270575141,3.19330168260404,0.1390238273541414,192.8629301635828,-1286.794591448517,174.36862151547194,27.42506049300742,-94.48147557380433,-20.662756800891422,-80.78838542329885,-26.607453457767384,0.0,0.0,0.0,1.0,0.5514473684210526,0.6204706794482462
2,84.60000000000001,800,176,4111.0489388882315,1286.792593630319,-0.10816218679997514,3.193174544639146,0.13901829226593543,193.67838232490533,-1286.7413389369633,174.4159474118187,27.423537563784762,-14.036000554548211,-20.657952739495776,-4.921657653825906,-26.600422873797402,0.0,0.0,0.0,1.0,0.5911058638331366,0.6612588383838256
3,85.69999999999997,1200,176,4111.023733384019,1286.696492604262,-0.10814859819937395,3.1931549667709103,0.13901743992236,191.3894072515361,-1286.6065952790052,174.46602266670914,27.421489502495756,8.627193499955721,-20.65721296612375,17.90070777879883,-26.590968024121043,0.0,0.0,0.0,1.0,0.5081988718352355,0.600277485661517
4,86.0,1200,176,4111.064580444928,1286.6375807750558,-0.1081706193994918,3.1931866939035856,0.13901882119724532,190.61215474724682,-1286.5317623135927,174.43749555264193,27.42023400042869,13.123598643240154,-20.6584118141107,22.605356244968235,-26.585172014315983,0.0,0.0,0.0,1.0,0.4597927325200053,0.5811995138000895
5,86.90000000000006,800,176,4110.990695461529,1286.6861304287743,-0.10813078717090119,3.1931293052293745,0.13901632271951642,190.61171145719285,-1286.5747003693853,174.3647002727658,27.421268668532196,9.79938516134904,-20.656243313816102,20.548736271264968,-26.589948546852437,0.0,0.0,0.0,1.0,0.4475928112291749,0.5736496798872012
6,94.0,800,176,4110.097177461603,1286.209567338004,-0.1076491382080349,3.1924352831014566,0.1389861077188426,189.9453369941198,-1286.1207693770566,174.34305328015364,27.411112373037536,4.507946358785064,-20.6300188503739,14.435168995101854,-26.543062133986673,0.0,0.0,0.0,1.0,0.6086389142633434,0.6683247820497253
