horizon,OutbreakThreshold,ModelSize,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,80.00000000000001,800,176,4043.5067926503257,1257.1590927830484,-0.07204838623398424,3.1407125415681003,0.13673430247025348,170.22501847813643,-1256.338347724104,137.13232723632834,26.792001893114715,-91.27864202896738,-18.675612657963867,-76.61520804116991,-23.68494624060404,1.0,0.14,0.24561403508771928,1.0,0.8969736842105263,0.9155374667155391
2,84.60000000000001,800,176,4081.313313535016,1271.619870732872,-0.09218926896893787,3.170077995958193,0.13801275914835068,179.04132272806902,-1271.5135949346986,171.51838199625263,27.10018340524927,-13.211166834571575,-19.785221781562214,-3.6845140415588506,-25.107662389728613,1.0,0.06060606060606061,0.11428571428571428,1.0,0.9064672701036337,0.9140208117962313
3,85.69999999999997,1200,176,4090.6314139298956,1272.75332724697,-0.09718214564609307,3.177315642949904,0.13832785790375715,178.23534717794658,-1272.558433191528,169.88257629939818,27.124339114137513,9.080439109908667,-20.058705005376943,18.790369026603994,-25.21917692183284,1.0,0.08080808080808081,0.14953271028037382,1.0,0.8179194542830907,0.8679024456830717
4,86.0,1200,176,4079.537485813361,1270.490809799186,-0.09123902679257823,3.168698657506925,0.13795270816357946,176.1907570847794,-1270.037931697425,158.53535043247808,27.076121372968384,13.789839825597861,-19.733101814006957,23.57662710332349,-24.996580314526675,1.0,0.10101010101010101,0.1834862385321101,1.0,0.8475665748393021,0.8609662332754311
5,86.90000000000006,800,176,4100.682633425974,1278.1006308028204,-0.102580611604985,3.1851227254523415,0.13866774764730097,176.6975748955719,-1276.7196324270537,164.567671918475,27.23829841158351,10.025557780622652,-20.353705036989346,21.0788801648634,-25.745268612720906,0.6666666666666666,0.020202020202020204,0.0392156862745098,0.987012987012987,0.8101797192706284,0.8285020308356699
6,94.0,800,176,4106.576515482013,1281.3951821493974,-0.1057523519092578,3.1897006797482437,0.13886705381719272,180.7492795354358,-1281.1484850247657,165.42342209497053,27.30851038906605,4.589743753856689,-20.526688563369344,14.755444994842836,-26.0694013406529,0.0,0.0,0.0,1.0,0.8507112097089913,0.8501030434278695
