Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE
StackedLSTM,train,2541,261.54903639183993,37.344322204589844,0.4792400598526001,4.193935009196547,0.04116289524580421,141.90960693359375,-28.21295166015625,0.6428313255310059,0.7958651828127223
StackedLSTM,val,396,3.142779925252377,1.0928102731704712,0.21315830945968628,2.7292563108104573,0.12087615097124527,162.31710815429688,-0.5176804065704346,0.37902188301086426,0.023289474717780336
StackedLSTM,test,1056,4076.5027903829528,1258.3795166015625,-0.08961617946624756,3.1663415461852433,0.13785008759579848,167.7375030517578,-1220.7705078125,155.0489501953125,26.818011009577173
NaiveLast,test,1056,4070.1670727379237,1381.76416015625,-0.08623182773590088,3.1614204049433727,0.13763584041451116,151.49147033691406,-443.47821044921875,266.5,29.44752832578287
SeasonalNaive12,test,1056,3407.1926860686935,1016.4204711914062,0.23881292343139648,2.6464683854035402,0.11521684992792823,165.03407287597656,-989.3295288085938,153.0,21.66149005697897
