horizon,OutbreakThreshold,BestEpoch,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,Skill_RMSE_vs_NaiveLast_pct,Skill_RMSE_vs_Seasonal12_pct,Skill_MAE_vs_NaiveLast_pct,Skill_MAE_vs_Seasonal12_pct,precision,recall,f1,specificity,roc_auc,pr_auc
1,94.0,18,176,4111.201284296355,1286.4715576171875,-0.10824429988861084,3.19329290339448,0.13902344394347205,185.2216796875,-1286.283935546875,173.14306640625,27.416695790519185,-94.48094094866954,-20.66242396874727,-80.73324316771652,-26.568835839093087,0.0,0.0,0.0,1.0,0.5407803732219757,0.6542909664215948
2,97.0,44,176,3952.5253952378343,1175.4788818359375,-0.024347662925720215,3.070044598232232,0.13365769630859714,114.9608383178711,-966.9340209960938,167.0215301513672,25.051270446404605,-9.638731722821703,-16.005338101331734,4.154563051057691,-15.648879096078172,0.8314606741573034,0.7789473684210526,0.8043478260869565,0.8148148148148148,0.8635477582846004,0.8033615202669389
3,107.19999694824219,54,176,4057.794967713376,1227.7752685546875,-0.07963824272155762,3.15181062122253,0.13721746813585067,141.48483276367188,-1211.287353515625,126.09611511230469,26.16578721680799,9.810271150763295,-19.094965902716933,21.660248004788585,-20.794031934002643,0.8363636363636363,0.48936170212765956,0.6174496644295302,0.8902439024390244,0.85806953814219,0.8454631880543151
4,112.0,1,176,4111.595797254395,1286.7257080078125,-0.10845708847045898,3.193599333399262,0.1390367847035843,187.20477294921875,-1286.5692138671875,173.64859008789062,27.4221121278673,13.112372471029332,-20.67400279608076,22.600055159498478,-26.59384029323668,0.0,0.0,0.0,1.0,0.7036749482401656,0.7442205038355142
5,112.0,2,176,4111.681651100922,1286.8348388671875,-0.10850334167480469,3.1936660186476566,0.13903968791765595,190.01287841796875,-1286.6995849609375,174.01376342773438,27.424437875028303,9.784221885216649,-20.67652257862427,20.53955534416524,-26.604577076139833,0.0,0.0,0.0,1.0,0.6348343685300207,0.612242891011585
6,116.0,39,176,4111.687731333692,1286.990478515625,-0.10850656032562256,3.193670741346161,0.13903989352541904,187.53993225097656,-1286.8487548828125,173.95486450195312,27.427754796314975,4.470991083780462,-20.676701031483557,14.38321840508583,-26.619889602092293,0.0,0.0,0.0,1.0,0.3789466873706004,0.4747290471189471
