horizon,OutbreakThreshold,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,precision,recall,f1,specificity,roc_auc,pr_auc
1,196.60000000000005,176,3716.948461561052,952.6525271012051,0.0941190810488447,2.887064928592686,0.12569148050727247,97.26060089012691,381.703661794385,134.94307990009978,20.30249668168344,0.8860759493670886,0.8235294117647058,0.8536585365853657,0.9010989010989011,0.9504848093083387,0.9483662081450563
2,210.60000000000016,176,8244.281553134866,1735.993347148914,-3.4566000782189503,6.403579812753978,0.2787867426327231,130.40821161092325,615.9995212750617,194.00474219588057,36.996699391709164,0.8,0.6588235294117647,0.7225806451612903,0.8461538461538461,0.8281835811247577,0.8482101897126855
3,223.9999999999998,176,7917.783151999941,1882.1742350893362,-3.110600209992361,6.14997874916475,0.26774594724739487,149.11066935221692,388.08034327865516,232.00042031211035,40.11203988355323,0.7272727272727273,0.47619047619047616,0.5755395683453238,0.8369565217391305,0.7151915113871635,0.7349761721207401
4,270.7999999999997,176,7294.116964267675,1894.3601434376794,-2.4885381735865604,5.665558586665449,0.24665619384105553,160.97692564496236,85.801472013492,270.6016674606201,40.371740411046034,0.6511627906976745,0.35443037974683544,0.459016393442623,0.845360824742268,0.6424376875897169,0.6195756740883339
5,232.60000000000053,176,5963.015264188938,1752.6825361785623,-1.3314702357792143,4.631652124299964,0.20164396267377768,167.8455489958459,-390.9542112213135,239.9600502721063,37.35237178563588,0.6388888888888888,0.27380952380952384,0.38333333333333336,0.8586956521739131,0.5565476190476191,0.5549664346482016
6,150.0,176,4510.714456295818,1510.2941624231476,-0.33410098449139003,3.5036066935935852,0.1525332901493247,169.40080237431872,-783.5470680072146,240.3548867589807,32.18670118292182,0.5588235294117647,0.21348314606741572,0.3089430894308943,0.8275862068965517,0.5171122304016531,0.5478450941935673
