experiment,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,precision,recall,f1,specificity,roc_auc,pr_auc
fixed_order_only,12974.575652945035,2573.4482022591783,-11.784816703753892,10.077740576273223,0.4387452878718067,146.84621513127567,1087.6990763479826,244.95420931273202,54.8441557656212,0.6756322631657921,0.47089303459495974,0.5448526710321413,0.8270499771450329,0.6958829768476349,0.7011477930184936
full,6274.476641908049,1621.3594918964743,-1.7711984335032718,4.873573482511736,0.21217626950859136,145.83379314473234,49.51395318884431,218.64414114996632,34.55367488942493,0.7103706476063575,0.46671107783178695,0.5505119277164717,0.8526419921341017,0.7016595731432081,0.7089899621514307
no_seasonal,4374.387391192192,1528.5598691138446,-0.3488274803707602,3.397717388818734,0.1479232852425336,152.5602167539587,-208.65109647090887,282.0590977231622,32.5759716030664,0.5702567206804495,0.4097242258207981,0.46884167026810003,0.7744875791966938,0.6182827346482249,0.6427648477133843
simpler_nonseasonal,4045.2172787452396,1424.630488292162,-0.14470849463708377,3.1420411272255393,0.13679214387749392,150.95286203428392,-321.5847503640943,277.5924493122441,30.361075983482888,0.5585940931473806,0.4097242258207981,0.4652620011941709,0.7617757786829179,0.6190680567138177,0.6470686052209613
