Model,Split,n,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE
XGBoost,train,2871,74.43806469160408,10.772424005582716,0.9524990014579704,1.3469025690563083,0.011715150250488532,118.54590248256744,-4.047260394980097,0.37540093064308167,0.22957699308532434
XGBoost,val,396,2.215983957953912,0.8111192553180738,0.608805635831822,1.9244071213810285,0.0852301522289966,149.8338020748708,-0.2871220282684571,0.2857985496520996,0.01728620406818622
XGBoost,test,1056,4110.9034742840795,1286.4892571570085,-0.10808376617091975,3.1930615579347728,0.1390133732680945,191.4549845345224,-1286.3921770328307,174.4354075267911,27.41707299504892
NaiveLast,test,1056,4070.1671712699103,1381.7642045454538,-0.08623183676883772,3.1614204542259148,0.13763584374644666,151.4914677625137,-443.4782196969697,266.5000000000001,29.44752927178536
SeasonalNaive12,test,1056,3407.192684401096,1016.4204545454543,0.23881289480180745,2.646468361296755,0.11521684987153742,165.03408530555566,-989.3295454545453,152.99999999999994,21.661489702228025
